date,PM2.5,PM10,NO2,SO2,CO,O3,AQI,temp_mean_C,temp_min_C,temp_max_C,precipitation_mm,humidity_percent,wind_speed_ms,year,month,season,is_weekend,PM2.5_lag_1d,PM2.5_lag_7d,PM2.5_lag_30d,PM10_lag_1d,PM10_lag_7d,PM10_lag_30d,NO2_lag_1d,NO2_lag_7d,NO2_lag_30d,SO2_lag_1d,SO2_lag_7d,SO2_lag_30d,CO_lag_1d,CO_lag_7d,CO_lag_30d,O3_lag_1d,O3_lag_7d,O3_lag_30d,AQI_lag_1d,AQI_lag_7d,AQI_lag_30d,PM2.5_rolling_mean_7d,PM2.5_rolling_max_7d,PM2.5_rolling_std_7d,PM2.5_rolling_mean_30d,PM2.5_rolling_max_30d,PM2.5_rolling_std_30d,PM10_rolling_mean_7d,PM10_rolling_max_7d,PM10_rolling_std_7d,PM10_rolling_mean_30d,PM10_rolling_max_30d,PM10_rolling_std_30d,AQI_rolling_mean_7d,AQI_rolling_max_7d,AQI_rolling_std_7d,AQI_rolling_mean_30d,AQI_rolling_max_30d,AQI_rolling_std_30d,PM2.5_change_7d,PM2.5_change_30d,PM2.5_trend_7d,PM10_change_7d,PM10_change_30d,PM10_trend_7d,AQI_change_7d,AQI_change_30d,AQI_trend_7d,AQHI,Weather_Comfort_Index,Pollution_Severity,Seasonal_Pollution_Index,forest_cover_sq_km,total_green_cover_sq_km,green_cover_percentage,total_species,threatened_species,population,density_per_sq_km,total_vehicles,Heat_Stress_Index,Wind_Dispersion_Effect,Emission_Pressure,Green_Cooling_Effect,day_of_year,day_of_year_sin,day_of_year_cos,month_sin,month_cos,Ecosystem_Health_Score,EHS_Category
2019-01-01,175.25833333333333,304.26666666666665,44.833333333333336,14.333333333333334,1.8516666666666663,45.333333333333336,342.0,11.9,6.12,21.08,0.0,38.66,2.24,2019,1,Winter,0,,,,,,,,,,,,,,,,,,,,,,175.25833333333333,175.25833333333333,,175.25833333333333,175.25833333333333,,304.26666666666665,304.26666666666665,,304.26666666666665,304.26666666666665,,342.0,342.0,,342.0,342.0,,,,Stable,,,Stable,,,Stable,66.06758333333333,68.13,5.0,107.99325723013848,179.19,250.28,16.87,350.0,12.0,19439527.0,13099.0,11200000.0,4.60054,0.01270861897782611,146.7088,6.4274700000000005,1,0.017213356155834685,0.9998518392091162,0.49999999999999994,0.8660254037844387,45.381833333333326,Moderate
2019-01-02,189.65833333333333,218.28333333333333,48.0,16.0,1.915,44.0,353.1666666666667,13.33,7.510000000000001,22.36,0.0,41.2,2.05,2019,1,Winter,0,175.25833333333333,,,304.26666666666665,,,44.833333333333336,,,14.333333333333334,,,1.8516666666666663,,,45.333333333333336,,,342.0,,,182.45833333333331,189.65833333333333,10.182337649086298,182.45833333333331,189.65833333333333,10.182337649086298,261.275,304.26666666666665,60.79939806902329,261.275,304.26666666666665,60.79939806902329,347.58333333333337,353.1666666666667,7.896025723249774,347.58333333333337,353.1666666666667,7.896025723249774,,,Stable,,,Stable,,,Stable,62.31658333333334,72.25999999999999,5.0,116.86646100046225,179.19,250.28,16.87,350.0,12.0,19439527.0,13099.0,11200000.0,5.491960000000001,0.010752218191354516,146.7088,6.186229000000001,2,0.03442161162274574,0.9994074007397048,0.49999999999999994,0.8660254037844387,45.013166666666656,Moderate
2019-01-03,171.1916666666667,203.4416666666667,47.66666666666666,13.5,1.735,43.5,338.8333333333333,11.71,4.79,21.25,0.0,49.26,3.27,2019,1,Winter,0,189.65833333333333,,,218.28333333333333,,,48.0,,,16.0,,,1.915,,,44.0,,,353.1666666666667,,,178.70277777777778,189.65833333333333,9.703225885889314,178.70277777777778,189.65833333333333,9.703225885889314,241.99722222222223,304.26666666666665,54.435113216800815,241.99722222222223,304.26666666666665,54.435113216800815,344.6666666666667,353.1666666666667,7.52957133205103,344.6666666666667,353.1666666666667,7.52957133205103,,,Stable,,,Stable,,,Stable,58.11129166666667,73.05,5.0,105.48739875796373,179.19,250.28,16.87,350.0,12.0,19439527.0,13099.0,11200000.0,5.768346,0.018990466050428298,146.7088,6.459523000000001,3,0.051619667223253764,0.998666816288476,0.49999999999999994,0.8660254037844387,46.095499999999994,Moderate
2019-01-04,159.0,222.39166666666665,40.5,12.833333333333334,1.6016666666666666,47.66666666666666,329.5,11.29,5.34,18.31,0.0,52.46,2.18,2019,1,Winter,0,171.1916666666667,,,203.4416666666667,,,47.66666666666666,,,13.5,,,1.735,,,43.5,,,338.8333333333333,,,173.77708333333334,189.65833333333333,12.64192462016175,173.77708333333334,189.65833333333333,12.64192462016175,237.09583333333333,304.26666666666665,45.5142705032657,237.09583333333333,304.26666666666665,45.5142705032657,340.875,353.1666666666667,9.762337872699398,340.875,353.1666666666667,9.762337872699398,,,Stable,,,Stable,,,Stable,56.86312499999999,71.35,5.0,97.974958297325,179.19,250.28,16.87,350.0,12.0,19439527.0,13099.0,11200000.0,5.922733999999999,0.013625000000000002,146.7088,6.5303770000000005,4,0.06880242680231986,0.9976303053065857,0.49999999999999994,0.8660254037844387,46.57883333333333,Moderate
2019-01-05,123.525,229.4,33.0,10.0,1.295,62.5,282.1666666666667,12.550000000000002,4.88,22.68,0.01,50.57,3.2900000000000005,2019,1,Winter,1,159.0,,,222.39166666666665,,,40.5,,,12.833333333333334,,,1.6016666666666666,,,47.66666666666666,,,329.5,,,163.72666666666666,189.65833333333333,24.998361335184438,163.72666666666666,189.65833333333333,24.998361335184438,235.55666666666667,304.26666666666665,39.56648562511233,235.55666666666667,304.26666666666665,39.56648562511233,329.1333333333333,353.1666666666667,27.582804627359973,329.1333333333333,353.1666666666667,27.582804627359973,,,Stable,,,Stable,,,Stable,52.53150000000001,74.81500000000001,5.0,76.11545109230863,179.19,250.28,16.87,350.0,12.0,19439527.0,13099.0,11200000.0,6.346535000000002,0.026420397510540056,146.7088,6.3178149999999995,5,0.08596479873744647,0.9962981749346078,0.49999999999999994,0.8660254037844387,50.23866666666667,Moderate
2019-01-06,132.56666666666666,270.84166666666664,30.166666666666668,9.0,1.3416666666666668,55.5,306.1666666666667,11.96,8.27,18.51,2.08,64.55,2.59,2019,1,Winter,1,123.525,,,229.4,,,33.0,,,10.0,,,1.295,,,62.5,,,282.1666666666667,,,158.53333333333333,189.65833333333333,25.7246714696655,158.53333333333333,189.65833333333333,25.7246714696655,241.4375,304.26666666666665,38.20877689673464,241.4375,304.26666666666665,38.20877689673464,325.3055555555556,353.1666666666667,26.392426663442386,325.3055555555556,353.1666666666667,26.392426663442386,,,Stable,,,Stable,,,Stable,55.50504166666666,66.64500000000001,5.0,81.686878228189,179.19,250.28,16.87,350.0,12.0,19439527.0,13099.0,11200000.0,7.72018,0.019391065635138507,146.7088,6.4173480000000005,6,0.10310169744743485,0.9946708199115211,0.49999999999999994,0.8660254037844387,47.74166666666667,Moderate
2019-01-07,196.45,315.51666666666665,51.16666666666666,15.0,2.178333333333333,40.16666666666666,358.3333333333333,11.88,5.55,21.08,0.12,70.17,3.08,2019,1,Winter,0,132.56666666666666,,,270.84166666666664,,,30.166666666666668,,,9.0,,,1.3416666666666668,,,55.5,,,306.1666666666667,,,163.95000000000002,196.45,27.51086233283675,163.95000000000002,196.45,27.51086233283675,252.02023809523808,315.51666666666665,44.727537518109145,252.02023809523808,315.51666666666665,44.727537518109145,330.0238095238095,358.3333333333333,27.13485331727931,330.0238095238095,358.3333333333333,27.13485331727931,,,Stable,,,Stable,,,Stable,70.7145,63.675000000000004,5.0,121.05145004722955,179.19,250.28,16.87,350.0,12.0,19439527.0,13099.0,11200000.0,8.336196000000001,0.015598885793871867,146.7088,6.430844,7,0.1202080448993527,0.9927487224577402,0.49999999999999994,0.8660254037844387,43.793,Moderate
2019-01-08,168.07500000000002,240.34166666666667,45.16666666666666,13.666666666666666,1.9883333333333333,50.66666666666666,336.5,12.31,6.29,21.61,0.0,58.6,3.24,2019,1,Winter,0,196.45,175.25833333333333,,315.51666666666665,304.26666666666665,,51.16666666666666,44.833333333333336,,15.0,14.333333333333334,,2.178333333333333,1.8516666666666663,,40.16666666666666,45.333333333333336,,358.3333333333333,342.0,,162.92380952380952,196.45,27.150356141758774,164.465625,196.45,25.511829048089986,242.88809523809525,315.51666666666665,38.35414617874484,250.56041666666667,315.51666666666665,41.61499742776272,329.23809523809524,358.3333333333333,26.807934346296495,330.8333333333333,358.3333333333333,25.226120249795496,-7.183333333333309,,Improving,-63.92499999999998,,Improving,-5.5,,Improving,60.986375,70.32000000000001,5.0,103.56692525674782,179.19,250.28,16.87,350.0,12.0,19439527.0,13099.0,11200000.0,7.21366,0.019163093301789145,146.7088,6.358302999999999,8,0.13727877211326478,0.9905324521322229,0.49999999999999994,0.8660254037844387,45.985833333333325,Moderate
2019-01-09,140.975,334.55833333333334,33.833333333333336,11.166666666666666,1.528333333333333,47.833333333333336,315.6666666666667,12.51,5.78,22.49,0.0,46.35,4.24,2019,1,Winter,0,168.07500000000002,189.65833333333333,,240.34166666666667,218.28333333333333,,45.16666666666666,48.0,,13.666666666666666,16.0,,1.9883333333333333,1.915,,50.66666666666666,44.0,,336.5,353.1666666666667,,155.96904761904761,196.45,25.33536893972869,161.85555555555555,196.45,25.11590942510344,259.49880952380954,334.55833333333334,49.48547028350741,259.8935185185185,334.55833333333334,47.95094494524561,323.88095238095235,358.3333333333333,24.908855015858464,329.14814814814815,358.3333333333333,24.13236710261362,-48.68333333333334,,Improving,116.275,,Worsening,-37.5,,Improving,61.166624999999996,73.195,5.0,86.86804871676348,179.19,250.28,16.87,350.0,12.0,19439527.0,13099.0,11200000.0,5.798385000000001,0.029864412748723368,146.7088,6.324563,9,0.15430882066428117,0.9880226656636976,0.49999999999999994,0.8660254037844387,47.73166666666666,Moderate
2019-01-10,189.025,256.6666666666667,50.66666666666666,15.5,2.0033333333333334,39.833333333333336,352.5,13.12,4.86,21.91,0.0,41.62,2.75,2019,1,Winter,0,140.975,171.1916666666667,,334.55833333333334,203.4416666666667,,33.833333333333336,47.66666666666666,,11.166666666666666,13.5,,1.528333333333333,1.735,,47.833333333333336,43.5,,315.6666666666667,338.8333333333333,,158.51666666666668,196.45,27.889128208357864,164.5725,196.45,25.190015857870215,267.10238095238094,334.55833333333334,43.11571309405038,259.5708333333333,334.55833333333334,45.22009912604279,325.83333333333337,358.3333333333333,26.744158240632647,331.48333333333335,358.3333333333333,23.92057975473146,17.833333333333314,,Worsening,53.224999999999994,,Worsening,13.666666666666686,,Worsening,64.969,72.05,5.0,116.47620435315635,179.19,250.28,16.87,350.0,12.0,19439527.0,13099.0,11200000.0,5.460543999999999,0.01447178002894356,146.7088,6.221656,10,0.1712931441814776,0.9852201067560606,0.49999999999999994,0.8660254037844387,45.038833333333336,Moderate
